ID,Date,Localisation à Montréal,Secteur d'activité de l'entreprise,Nombre d'employés de l'entreprise au 1er mars 2020,Sujet de la demande: Soutien financier,Sujet de la demande: Maintien des opérations,Sujet de la demande: Fiscalité (taxes et impôts),Sujet de la demande: Ressources humaines,Sujet de la demande: Réglementation,Sujet de la demande: Marketing,Sujet de la demande: Santé et sécurité,Source de la demande,Arrondissement ou ville liée
1,2020-03-27,Localisation inconnue,Commerce de détail,Taille inconnue,,,,,,,Santé et sécurité,Téléphone,Inconnu(e)
2,2020-03-24,Localisation inconnue,Autres,Taille inconnue,,,,,Réglementation,,,Téléphone,Inconnu(e)
904,2020-03-19,Localisation inconnue,"Services divers (ex. : garage, salon de coiffure et esthétique, buanderie, salon funéraire)",Taille inconnue,,,,,,Marketing,,Formulaire,Inconnu(e)
667,2020-03-19,Non,Restauration et bar,Taille inconnue,Soutien financier,,,,,,,Formulaire,Inconnu(e)
816,2020-03-19,Oui,Industrie de l’information et culturelle,Taille inconnue,Soutien financier,,,,,,,Formulaire,Inconnu(e)
810,2020-03-19,Localisation inconnue,"Services divers (ex. : garage, salon de coiffure et esthétique, buanderie, salon funéraire)",Taille inconnue,Soutien financier,,,,,,,Formulaire,Inconnu(e)
666,2020-03-19,Oui,Industrie de l’information et culturelle,1 à 4 employés,Soutien financier,Maintien des opérations,,,,,,Formulaire,Inconnu(e)
814,2020-03-19,Oui,Restauration et bar,Taille inconnue,Soutien financier,,,,,,,Formulaire,Inconnu(e)
821,2020-03-19,Oui,Commerce de détail,5 à 24 employés,Soutien financier,,,Ressources humaines,,,,Formulaire,Le Plateau-Mont-Royal
690,2020-03-19,Oui,"Arts, spectacles et loisirs",1 à 4 employés,Soutien financier,,,,,,,Formulaire,Le Sud-Ouest
694,2020-03-19,Oui,Autres,5 à 24 employés,Soutien financier,,,,,,,Formulaire,Rosemont–La Petite-Patrie
38,2020-03-19,Oui,"Services divers (ex. : garage, salon de coiffure et esthétique, buanderie, salon funéraire)",1 à 4 employés,Soutien financier,,,,,,,Formulaire,Ahuntsic–Cartierville
696,2020-03-19,Oui,Commerce de détail,5 à 24 employés,Soutien financier,,,Ressources humaines,,,,Formulaire,Ville-Marie
685,2020-03-19,Non,Commerce de détail,1 à 4 employés,Soutien financier,,,,,,,Formulaire,Hors Montréal
809,2020-03-19,Oui,Autres,5 à 24 employés,Soutien financier,,,,,,,Formulaire,Le Plateau-Mont-Royal
808,2020-03-19,Oui,"Arts, spectacles et loisirs",1 à 4 employés,Soutien financier,,,,,,,Formulaire,Ahuntsic–Cartierville
665,2020-03-19,Non,"Services divers (ex. : garage, salon de coiffure et esthétique, buanderie, salon funéraire)",1 à 4 employés,Soutien financier,,,,,,,Formulaire,Hors Montréal
801,2020-03-19,Oui,Fabrication,1 à 4 employés,Soutien financier,,,,,,,Formulaire,Rosemont–La Petite-Patrie
1310,2020-03-20,Oui,Fabrication,1 à 4 employés,Soutien financier,,,,,,,Formulaire,Rosemont–La Petite-Patrie
815,2020-03-19,Oui,Commerce de gros,1 à 4 employés,Soutien financier,,,,,,,Formulaire,Côte-des-Neiges–Notre-Dame-de-Grâce
686,2020-03-19,Oui,Commerce de détail,1 à 4 employés,Soutien financier,,,,,,,Formulaire,Le Plateau-Mont-Royal
673,2020-03-19,Oui,"Arts, spectacles et loisirs",1 à 4 employés,Soutien financier,,,,,,,Formulaire,Le Plateau-Mont-Royal
805,2020-03-19,Oui,"Services divers (ex. : garage, salon de coiffure et esthétique, buanderie, salon funéraire)",1 à 4 employés,Soutien financier,,,Ressources humaines,,,,Formulaire,Pierrefonds-Roxboro
811,2020-03-19,Oui,Fabrication,1 à 4 employés,Soutien financier,,,,,,,Formulaire,Rosemont–La Petite-Patrie
799,2020-03-19,Oui,Commerce de détail,5 à 24 employés,Soutien financier,,Fiscalité (taxes et impôts),,,,,Formulaire,Rosemont–La Petite-Patrie
692,2020-03-19,Oui,Commerce de détail,1 à 4 employés,Soutien financier,,,,,,,Formulaire,Le Plateau-Mont-Royal
689,2020-03-19,Oui,Autres,1 à 4 employés,,,,Ressources humaines,,,,Formulaire,LaSalle
674,2020-03-19,Oui,"Arts, spectacles et loisirs",1 à 4 employés,Soutien financier,,,,,,,Formulaire,Le Plateau-Mont-Royal
675,2020-03-19,Oui,"Services divers (ex. : garage, salon de coiffure et esthétique, buanderie, salon funéraire)",1 à 4 employés,Soutien financier,,,,,,,Formulaire,Le Plateau-Mont-Royal
800,2020-03-19,Oui,"Services divers (ex. : garage, salon de coiffure et esthétique, buanderie, salon funéraire)",1 à 4 employés,,,Fiscalité (taxes et impôts),,,,,Formulaire,LaSalle
682,2020-03-19,Oui,Restauration et bar,5 à 24 employés,Soutien financier,,,,,,,Formulaire,Ville-Marie
39,2020-03-19,Non,Autres,25 à 99 employés,Soutien financier,,,,,,,Formulaire,Hors Montréal
670,2020-03-19,Oui,"Services divers (ex. : garage, salon de coiffure et esthétique, buanderie, salon funéraire)",1 à 4 employés,Soutien financier,,,,,,,Formulaire,Westmount
672,2020-03-19,Oui,Restauration et bar,5 à 24 employés,Soutien financier,,,,,,,Formulaire,Ahuntsic–Cartierville
691,2020-03-19,Oui,Autres,1 à 4 employés,Soutien financier,,,,,,,Formulaire,Ville-Marie
680,2020-03-19,Oui,Industrie de l’information et culturelle,Taille inconnue,Soutien financier,,,,,,,Formulaire,Ville-Marie
683,2020-03-19,Localisation inconnue,Commerce de détail,Taille inconnue,Soutien financier,,,,,,,Formulaire,Inconnu(e)
813,2020-03-19,Oui,Autres,1 à 4 employés,Soutien financier,,,,,,,Formulaire,Ville-Marie
812,2020-03-19,Oui,"Services divers (ex. : garage, salon de coiffure et esthétique, buanderie, salon funéraire)",5 à 24 employés,Soutien financier,,,,,,,Formulaire,Côte-des-Neiges–Notre-Dame-de-Grâce
817,2020-03-19,Oui,"Arts, spectacles et loisirs",5 à 24 employés,Soutien financier,,,,,,,Formulaire,Saint-Léonard
819,2020-03-19,Oui,"Services divers (ex. : garage, salon de coiffure et esthétique, buanderie, salon funéraire)",1 à 4 employés,,,,Ressources humaines,,,,Formulaire,Saint-Léonard
684,2020-03-19,Oui,Restauration et bar,1 à 4 employés,Soutien financier,,,,,,,Formulaire,Mercier–Hochelaga-Maisonneuve
681,2020-03-19,Oui,"Services divers (ex. : garage, salon de coiffure et esthétique, buanderie, salon funéraire)",1 à 4 employés,Soutien financier,,,,,,,Formulaire,Inconnu(e)
156,2020-03-20,Localisation inconnue,Inconnu,Taille inconnue,,,Fiscalité (taxes et impôts),,,,,Formulaire,Inconnu(e)
1305,2020-03-20,Oui,Autres,1 à 4 employés,Soutien financier,,,,,,,Formulaire,Inconnu(e)
1306,2020-03-20,Oui,Restauration et bar,25 à 99 employés,Soutien financier,,,,,,,Formulaire,Rosemont–La Petite-Patrie
77,2020-03-20,Oui,Commerce de gros,1 à 4 employés,,,Fiscalité (taxes et impôts),,,,,Formulaire,Ville-Marie
1307,2020-03-20,Oui,Service d’hébergement,1 à 4 employés,Soutien financier,,,,,,,Formulaire,Mercier–Hochelaga-Maisonneuve
1308,2020-03-20,Oui,Commerce de détail,1 à 4 employés,Soutien financier,,,,,,,Formulaire,Mercier–Hochelaga-Maisonneuve
1309,2020-03-20,Oui,Autres,1 à 4 employés,Soutien financier,,,,,,,Formulaire,Anjou
503,2020-03-20,Oui,Restauration et bar,5 à 24 employés,Soutien financier,,,,,,,Formulaire,Le Plateau-Mont-Royal
1311,2020-03-20,Oui,"Services divers (ex. : garage, salon de coiffure et esthétique, buanderie, salon funéraire)",5 à 24 employés,Soutien financier,,,,,,,Formulaire,Ville-Marie
1312,2020-03-20,Oui,Inconnu,Taille inconnue,Soutien financier,,,,,,,Formulaire,Inconnu(e)
1313,2020-03-20,Oui,Commerce de détail,5 à 24 employés,Soutien financier,,,,,,,Formulaire,Ville-Marie
978,2020-03-20,Oui,Commerce de détail,5 à 24 employés,Soutien financier,,,,,,,Formulaire,Le Plateau-Mont-Royal
392,2020-03-20,Localisation inconnue,"Services divers (ex. : garage, salon de coiffure et esthétique, buanderie, salon funéraire)",Taille inconnue,Soutien financier,,,,,,,Formulaire,Inconnu(e)
1314,2020-03-20,Oui,Commerce de détail,1 à 4 employés,Soutien financier,,,,,,,Formulaire,Le Plateau-Mont-Royal
1315,2020-03-20,Oui,Restauration et bar,5 à 24 employés,Soutien financier,,,,,,,Formulaire,L'Île-Bizard-Sainte-Geneviève
59,2020-03-23,Oui,Autres,5 à 24 employés,,,,,,Marketing,,Téléphone,Ville-Marie
1316,2020-03-20,Oui,Restauration et bar,5 à 24 employés,Soutien financier,,,,,,,Formulaire,Le Plateau-Mont-Royal
62,2020-03-23,Localisation inconnue,"Services divers (ex. : garage, salon de coiffure et esthétique, buanderie, salon funéraire)",Taille inconnue,Soutien financier,,,,,,,Téléphone,Inconnu(e)
65,2020-03-24,Oui,Commerce de détail,1 à 4 employés,Soutien financier,,Fiscalité (taxes et impôts),,,,,Téléphone,Saint-Laurent
66,2020-03-24,Localisation inconnue,Commerce de détail,Taille inconnue,Soutien financier,,,,,,,Téléphone,Inconnu(e)
1367,2020-03-20,Oui,Restauration et bar,5 à 24 employés,,,,,,,,Formulaire,Le Plateau-Mont-Royal
68,2020-03-23,Localisation inconnue,Inconnu,Taille inconnue,Soutien financier,,,,,,,Téléphone,Inconnu(e)
69,2020-03-24,Oui,Autres,5 à 24 employés,Soutien financier,,,,,,,Téléphone,LaSalle
70,2020-03-20,Oui,"Services divers (ex. : garage, salon de coiffure et esthétique, buanderie, salon funéraire)",1 à 4 employés,Soutien financier,,,,,,,Répondeur,LaSalle
